date,Open,High,Low,Close,Volume,ticker,SMA_50,SMA_200,EMA_12,EMA_26,RSI,MACD,MACD_signal,MACD_hist,Bollinger_Upper,Bollinger_Middle,Bollinger_Lower,sentiment_score,target
2020-10-15,117.41676330566406,117.89339294386204,114.92660814304054,115.48105698538242,112559200,AAPL,113.97254021859892,85.84881637848885,114.48847895373626,113.10885750600002,53.00816882947618,1.3796214477362412,0.5344971115566982,0.845124336179543,120.75551631274702,111.25605649916736,101.7565966855877,0.0,114.24568862177946
2020-10-16,115.77285766601562,118.23383968675913,115.56858783907587,117.97120175123152,115393800,AAPL,114.18797188443205,86.08094297588642,115.02428246104324,113.46903115379494,55.71566136767584,1.555251307248284,0.7386479506950154,0.8166033565532684,121.53949793350328,111.7852136190592,102.03092930461511,0.0,113.21461859214486
2020-10-19,112.81581115722656,117.1346730450766,112.50454176511802,116.68722375774855,120639300,AAPL,114.3193859820775,86.3055507231674,115.28011958361328,113.70741579112484,53.98838086651928,1.5727037924884542,0.9054591190537032,0.667244673434751,121.32785529468111,112.53517858338176,103.7425018720824,0.0,110.89956637288807
2020-10-20,114.30406951904295,115.73396585696943,112.4753553252332,113.02980416838348,124423700,AAPL,114.3894217716632,86.51592884135897,114.93391721203946,113.65722233758844,49.29988658931136,1.2766948744510245,0.9797062701331674,0.2969886043178571,121.39698392457773,112.70637707383132,104.01577022308491,0.0,112.3391745749253
2020-10-21,113.68152618408205,115.47132328298426,113.27297908868262,113.48697818121386,89946000,AAPL,114.48085744211986,86.72128704618802,114.71131120729706,113.64461165933848,49.88573583845942,1.066699547958592,0.9971049256982524,0.0695946222603397,121.43686626904942,112.95198824427987,104.46711021951032,0.0,111.9111833730848
2020-10-22,112.59207153320312,114.819595912401,111.46371546147095,114.24568862177946,101988000,AAPL,114.61611368801924,86.93367494590258,114.63967696337129,113.68913587877854,50.899740478765125,0.9505410845927288,0.9877921574771475,-0.0372510728844189,120.4926638039106,113.54923642758216,106.60580905125374,0.0,109.30429841508608
2020-10-23,111.90145111083984,113.37025699470568,111.16218354117096,113.21461859214486,82572600,AAPL,114.6542445513013,87.1287354426277,114.42043721395184,113.65398645013902,49.43582122151699,0.7664507638128129,0.9435238787442808,-0.1770731149314679,119.81728195571009,113.93637790060552,108.05547384550096,0.0,108.03001326805304
2020-10-26,111.91119384765624,113.37027065181736,109.80039043082108,110.89956637288807,111850700,AAPL,114.63829237692504,87.30816317419223,113.8787647768651,113.4499553333056,46.22140569874699,0.4288094435594871,0.8405809917073221,-0.411771548147835,119.85162645210512,113.88774233049116,107.9238582088772,0.0,106.13323338437137
2020-10-27,113.41889190673828,114.08034029540528,111.41509565044464,112.3391745749253,92276800,AAPL,114.62715487921544,87.49353306581297,113.64190474579743,113.3676752771293,48.465427864707465,0.274229468668139,0.7273106870994855,-0.4530812184313465,119.83481344568833,113.93345966231476,108.03210587894118,0.0,106.66824505588043
2020-10-28,108.1662139892578,112.28081345722651,108.06894369566764,111.9111833730848,143937800,AAPL,114.6407247823936,87.67065283317908,113.37563991922624,113.2597869879408,47.82648594695137,0.1158529312854312,0.6050191359366747,-0.4891662046512434,119.78431072671988,113.99473983776036,108.20516894880086,0.0,111.02600479592498
