Date,Open,High,Low,Close,Volume,ticker
2020-01-02,67.96522521972656,67.96522521972656,66.86332820436425,66.95867127115037,27278000,GOOGL
2020-01-03,67.60968017578125,68.21699501628234,66.90454453964605,66.9383158243975,23408000,GOOGL
2020-01-06,69.41175842285156,69.4370812039188,67.08729078696965,67.11856919518195,46768000,GOOGL
2020-01-07,69.2776870727539,69.69431580950295,69.10140504019108,69.54335656021222,34330000,GOOGL
2020-01-08,69.77078247070312,70.10894997178289,69.15453414305767,69.26328117365361,35314000,GOOGL
2020-01-09,70.50322723388672,70.94467861110725,70.02750448166115,70.6094889546629,33200000,GOOGL
2020-01-10,70.95858764648438,71.25554310798687,70.49379866523805,70.98391800569446,26258000,GOOGL
2020-01-13,71.50830078125,71.5802987088555,70.78032005165358,71.27093190331932,30730000,GOOGL
2020-01-14,71.03953552246094,71.63740929797085,70.89949492783481,71.50680981258097,26076000,GOOGL
2020-01-15,71.46708679199219,71.54554802109986,71.09267026131843,71.1602052622877,21550000,GOOGL
2020-01-16,72.01134490966797,72.03816039199243,71.50682134635217,71.77745389288593,26080000,GOOGL
2020-01-17,73.46926879882812,73.52041445228143,72.32863737834732,72.626085344564,52424000,GOOGL
2020-01-21,73.60484313964844,73.9837301623698,73.00696178186003,73.44345017940596,48930000,GOOGL
2020-01-22,73.68528747558594,74.51506708981928,73.62520837338383,73.97628733938622,28458000,GOOGL
2020-01-23,73.72600555419922,74.16349415742818,73.50900399356541,73.86803136699017,26650000,GOOGL
2020-01-24,72.80635070800781,74.19824756618672,72.65786918227317,74.12971996265826,29786000,GOOGL
2020-01-27,71.09615325927734,71.33699250078811,70.48883829793303,71.08671972598552,34132000,GOOGL
2020-01-28,72.02821350097656,72.24173713836646,71.02810757836856,71.59321023544943,29724000,GOOGL
2020-01-29,72.33609771728516,72.70555124780331,71.77447288626858,72.42349239357048,21566000,GOOGL
2020-01-30,72.21443176269531,72.26408472389092,71.25852322835154,71.41246028918627,27110000,GOOGL
2020-01-31,71.14828491210938,72.98014809578615,70.8642408722417,72.89026812670592,43822000,GOOGL
2020-02-03,73.6222152709961,73.80595319465691,72.33161718194921,72.58188991973289,71636000,GOOGL
2020-02-04,71.77545166015625,72.86443730740805,70.61446051188975,72.22634415188331,95880000,GOOGL
2020-02-05,71.80723571777344,72.72738774441514,70.99434560329382,72.67921990211404,36376000,GOOGL
2020-02-06,73.2929916381836,73.57057995499277,72.02722376835176,72.1017069989846,37822000,GOOGL
2020-02-07,73.44890594482422,73.7538022207612,72.76860058836093,72.86692147298923,28360000,GOOGL
2020-02-10,74.91629028320312,74.92721651036499,73.25475361833762,73.35555980846348,38302000,GOOGL
2020-02-11,74.9858169555664,75.97003370117069,74.7568965647971,75.14521713630961,34852000,GOOGL
